Biddle Dick, Colgate (assistant), ga, [1977, 1982],,,
Biddle Dick, Virginia Tech (assistant), ga, [1983, 1984],,,
Biddle Dick, Minnesota (assistant), ga, [1985, 1989],,,
Biddle Dick, Navy (assistant), ga, [1990, 1991],,,
Biddle Dick, Colgate (assistant), ga, [1992, 1995],,,
Biddle Dick, Colgate, hc, [1996, 2013],,,
Bielema Bret, Iowa (GA), ga, [1994, 1995],,,
Bielema Bret, Iowa (LB), lb, [1996, 2001],,,
Bielema Bret, Kansas State (Co-DC), dc, [2002, 2003],,,
Bielema Bret, Wisconsin (DC), dc, [2004, 2005],,,
Bielema Bret, Wisconsin, hc, [2006, 2012],,,
Bielema Bret, Arkansas, hc, [2013, -1],,,
Biesiot Hank, , hc, [-1, -1],,,
Biesiot Hank, Langdon HS (ND), hc, [1968, 1971],,,
Biesiot Hank, Dickinson State (DC), hc, [1972, 1975],,,
