Laycock Jimmye, Newport News HS (VA) (assistant), ga, [1970, 1970]
Laycock Jimmye, Clemson (assistant), ga, [1971, 1972]
Laycock Jimmye, The Citadel (assistant), ga, [1973, 1974]
Laycock Jimmye, Memphis State (assistant), ga, [1975, 1976]
Laycock Jimmye, Clemson (assistant), ga, [1977, 1979]
Laycock Jimmye, William & Mary, hc, [1980, -1]
Leach Mike, Cal Poly (assistant), ga, [1987, 1987]
Leach Mike, COD (assistant), ga, [1988, 1988]
Leach Mike, Pori Bears[2], hc, [1989, 1989]
Leach Mike, Iowa Wesleyan (OC), oc, [1989, 1991]
Leach Mike, Valdosta State (OC), oc, [1992, 1996]
Leach Mike, Kentucky (OC), oc, [1997, 1998]
Leach Mike, Oklahoma (OC), oc, [1999, 1999]
Leach Mike, Texas Tech, hc, [2000, 2009]
Leach Mike, Washington State, hc, [2012, -1]
Leavitt Jim, Missouri (GA), ga, [1978, 1979]
Leavitt Jim, Dubuque (DC), dc, [1980, 1981]
Leavitt Jim, Morningside (ST), st, [1982, 1982]
Leavitt Jim, Morningside (DC), dc, [1983, 1987]
Leavitt Jim, Iowa (GA), ga, [1989, 1989]
Leavitt Jim, Kansas State (LB), lb, [1990, 1990]
Leavitt Jim, Kansas State (co-DC/LB), dc, [1991, 1995]
Leavitt Jim, South Florida, hc, [1997, 2009]
Leavitt Jim, San Francisco 49ers (LB), lb, [2011, -1]
Lee David, UT Martin, hc, [1975, 1976]
Lee David, Quarterbacks / Wide receivers, wr, [-1, -1]
Lee David, Vanderbilt, hc, [1977, 1977]
Lee David, Quarterbacks, qb, [-1, -1]
Lee David, Ole Miss, hc, [1978, 1982]
Lee David, Quarterbacks, qb, [-1, -1]
Lee David, New Mexico, hc, [1983, 1983]
Lee David, Offensive Coordinator, oc, [-1, -1]
Lee David, Arkansas, hc, [1984, 1987]
Lee David, Quarterbacks / Fullbacks, qb, [-1, -1]
Lee David, Offensive Coordinator, oc, [1988, 1988]
Lee David, UTEP, hc, [1989, 1993]
Lee David, Head Coach, hc, [-1, -1]
Lee David, Rice, hc, [1994, 2000]
Lee David, Offensive Coordinator / Quarterbacks, oc, [-1, -1]
Lee David, Arkansas, hc, [2001, 2002]
Lee David, Quarterbacks, qb, [-1, -1]
Lee David, Dallas Cowboys, hc, [2003, 2004]
Lee David, Off. Quality Control, hc, [-1, -1]
Lee David, Quarterbacks, qb, [2005, 2006]
Lee David, Arkansas, hc, [2007, 2007]
Lee David, Offensive Coordinator, oc, [-1, -1]
Lee David, Miami Dolphins, hc, [2008, 2010]
Lee David, Quarterbacks, qb, [-1, -1]
Lee David, Ole Miss, hc, [2011, 2011]
Lee David, Offensive Coordinator, oc, [-1, -1]
Lee David, Buffalo Bills, hc, [2012, 2012]
Lee David, Quarterbacks Coach, qb, [-1, -1]
Lee David, New York Jets, hc, [2013, -1]
Lee David, Quarterbacks Coach, qb, [-1, -1]
Lee Don, Momence HS (IL) (OLB), ol, [1994, 1994]
Lee Don, Middle Georgia JC (DE), dl, [1995, 1997]
Lee Don, Southwest Baptist (DL), dl, [1998, 2001]
