Haynes Paul, Northern Iowa (CB), hc, [1998, 1998]
Haynes Paul, Kent State (secondary), hc, [1999, 2000]
Haynes Paul, Jacksonville Jaguars (DQC), hc, [2001, 2001]
Haynes Paul, Louisville (DB), db, [2002, 2002]
Haynes Paul, Michigan State (DB), db, [2003, 2004]
Haynes Paul, Ohio State (DB), db, [2005, 2010]
Haynes Paul, Ohio State (co-DC/safeties), dc, [2011, 2011]
Haynes Paul, Arkansas (DC), dc, [2012, 2012]
Haynes Paul, Kent State, hc, [2013, -1]
Haywood Michael, Minnesota (GA), ga, [1988, 1988]
Haywood Michael, Army (DB/DE/ST), db, [1989, 1990]
Haywood Michael, Ohio (OLB/ST), ol, [1991, 1992]
Haywood Michael, Ball State (WR/RB/ST), wr, [1993, 1994]
Haywood Michael, LSU (RB/ST), rb, [1995, 2002]
Haywood Michael, Texas (RB/ST), rb, [2003, 2004]
Haywood Michael, Notre Dame (OC/RB), oc, [2005, 2008]
Haywood Michael, Miami (OH), hc, [2009, 2010]
Hazell Darrell, Oberlin (RB), rb, [1986, 1987]
Hazell Darrell, Eastern Illinois (RB/WR), rb, [1988, 1988]
Hazell Darrell, Oberlin (OC), oc, [1989, 1991]
Hazell Darrell, Penn (RB), rb, [1992, 1994]
Hazell Darrell, Western Michigan (WR), wr, [1995, 1996]
Hazell Darrell, Army (WR/TE), wr, [1997, 1998]
Hazell Darrell, West Virginia (RB), rb, [1999, 2000]
Hazell Darrell, Rutgers (WR), wr, [2001, 2002]
Hazell Darrell, Rutgers (asst. HC), hc, [2003, 2003]
Hazell Darrell, Ohio State (WR/KR), wr, [2004, 2004]
Hazell Darrell, Ohio State (asst. HC/WR), hc, [2005, 2010]
Hazell Darrell, Kent State, hc, [2011, 2012]
Hazell Darrell, Purdue, hc, [2013, -1]
Hazlett James Jim, , hc, [-1, -1]
Hazlett James Jim, Edinboro, hc, [1962, 1965]
Hazlett James Jim, Susquehanna, hc, [1966, 1977]
Hazlett James Jim, Kean, hc, [1980, 1986]
Hazlett James Jim, , hc, [-1, -1]
Hazlett James Jim, , hc, [-1, -1]
Hazlett James Jim, Edinboro, hc, [1962, 1965]
Hazlett James Jim, Susquehanna, hc, [1966, 1977]
Hazlett James Jim, Kean, hc, [1984, 1987]
Heacock Jim, Muskingum (DB), db, [1973, 1974]
Heacock Jim, Muskingum (DC), dc, [1975, 1977]
Heacock Jim, Bowling Green (DL), dl, [1978, 1980]
Heacock Jim, Bowling Green (DC), dc, [1981, 1982]
Heacock Jim, Washington (DL), dl, [1983, 1987]
Heacock Jim, Illinois State, hc, [1988, 1995]
Heacock Jim, Ohio State (DL), dl, [1996, 2004]
Heacock Jim, Ohio State (DC), dc, [2005, 2012]
Heacock Jon, Toledo (GA), ga, [1983, 1983]
Heacock Jon, Steubenville HS (OH) (asst.), hc, [1984, 1984]
Heacock Jon, West Liberty (assistant), ga, [1985, 1987]
Heacock Jon, Michigan (GA), ga, [1988, 1989]
Heacock Jon, Army (assistant), ga, [1990, 1990]
Heacock Jon, Youngstown State (assistant), ga, [1991, 1996]
Heacock Jon, Indiana (DC), dc, [1997, 1999]
Heacock Jon, Youngstown State (DC), dc, [2000, 2000]
Heacock Jon, Youngstown State, hc, [2001, 2009]
Heacock Jon, Kent State University (DC), dc, [2010, 2012]
Heacock Jon, Purdue (CB), hc, [2013, 2013]
Heacock Jon, Toledo (DC/S), dc, [2014, -1]
Heath Jim, , hc, [-1, -1]
Heath Jim, Kalamazoo, hc, [1985, 1987]
Heath Jim, , hc, [-1, -1]
Heath Jim, , hc, [-1, -1]
Heath Jim, Kalamazoo, hc, [1985, 1986]
Heaton Marty, Adams State, hc, [2008, -1]
Heavner John, East Central (WR), wr, [1998, 2002]
Heavner John, East Central (OC), oc, [2003, 2004]
Heavner John, Missouri State (QB), qb, [2005, 2005]
Heavner John, Dordt, hc, [2007, 2011]
Hehman Eric, Greenville, hc, [2005, 2009]
Hehman Eric, Malone, hc, [2010, -1]
Heinecken Mickey, Middlebury, hc, [1973, 2000]
Helduser Jim Bob, Rice (TE/WR), hc, [1979, 1983]
Helduser Jim Bob, Texas State (QB/WR/OL), qb, [1986, 1991]
Helduser Jim Bob, Texas State, hc, [1992, 1996]
Helduser Jim Bob, TCU (OL), ol, [1998, 2000]
Helduser Jim Bob, Alabama (OL), ol, [2001, 2002]
Helduser Jim Bob, Texas A&M (OL), ol, [2003, 2007]
Helfrich Mark, Oregon (GA), ga, [1997, 1997]
Helfrich Mark, Boise State (QB), qb, [1998, 2000]
Helfrich Mark, Arizona State (QB), qb, [2001, 2005]
Helfrich Mark, Colorado (OC) (QB), oc, [2006, 2008]
Helfrich Mark, Oregon (OC) (QB), oc, [2009, 2012]
Helfrich Mark, Oregon, hc, [2013, -1]
Helminiak Steve, Loras College (Offensive Line), ol, [1991, 2001]
Helminiak Steve, Rockford College (OC), oc, [2004, 2005]
Helminiak Steve, Southern Oregon, hc, [2006, 2010]
Helminiak Steve, Loras College (Offensive Line), ol, [2011, -1]
Helton Clay, Duke (GA / RB), ga, [1995, 1996]
Helton Clay, Houston (RB), rb, [1997, 1999]
Helton Clay, Memphis (RB/WR/OC/QB), rb, [2000, 2009]
Helton Clay, USC (QB/OC), qb, [2010, -1]
Helton Kim, Florida (OL), ol, [1973, 1978]
Helton Kim, Miami (OC), oc, [1979, 1982]
Helton Kim, Tampa Bay Buccaneers (OL), ol, [1983, 1986]
Helton Kim, Houston Oilers (OL), ol, [1987, 1989]
