Baldwin Dave, Utah State (OC), oc, [2009, 2011]
Baldwin Dave, Colorado State (OC), oc, [2012, -1]
Ball Randy, Western Illinois, hc, [1990, 1998]
Ball Randy, Missouri State, hc, [1999, 2005]
Ballard Matt, GardnerWebb (Ast.), hc, [1979, 1979]
Ballard Matt, Georgetown College (OC/DC), oc, [1980, 1983]
Ballard Matt, Morehead State (Ast. HC/DC), hc, [1984, 1987]
Ballard Matt, Union College (KY), hc, [1988, 1994]
Ballard Matt, Morehead State, hc, [1994, 2012]
Barbier Darren, Archbishop Shaw HS (LA) (assistant), ga, [1983, 1988]
Barbier Darren, Hahnville HS (LA), hc, [1989, 1994]
Barbier Darren, Nicholls State, hc, [1995, 1998]
Barbier Darren, Tulane (LB), lb, [1999, 2000]
Barkum Jerome, Stats at NFL.com, hc, [-1, -1]
Barlow George, Marshall (GA), ga, [1991, 1991]
Barlow George, Marshall (LB), lb, [1992, 1993]
Barlow George, Hutchinson C. C. (DL), dl, [1994, 1994]
Barlow George, West Virginia State (DC), dc, [1995, 1995]
Barlow George, Oklahoma (GA), ga, [1996, 1997]
Barlow George, Oklahoma (LB), lb, [1998, 1998]
Barlow George, James Madison (RB), rb, [1999, 2001]
Barlow George, James Madison (DL), dl, [2002, 2003]
Barlow George, James Madison (DC), dc, [2004, 2008]
Barlow George, New Mexico (DB), db, [2009, 2010]
Barlow George, New Mexico (Interim HC/DC), hc, [2011, 2011]
Barlow George, Vanderbilt (DB), db, [2012, 2013]
Barlow George, N.C. State (CB's), hc, [2014, -1]
Barlow Reggie, Alabama State (QB), qb, [2005, 2006]
Barlow Reggie, Alabama State, hc, [2007, -1]
Barnett Gary, Missouri (GA), ga, [1969, 1971]
Barnett Gary, Air Academy HS (CO), hc, [1972, 1981]
Barnett Gary, Fort Lewis, hc, [1982, 1983]
Barnett Gary, Colorado (assistant), ga, [1984, 1991]
Barnett Gary, Northwestern, hc, [1992, 1998]
Barnett Gary, Colorado, hc, [1999, 2005]
Basil Richard, Savannah State (assistant), ga, [1993, 1993]
Basil Richard, Tennessee State (assistant), ga, [1994, 1995]
Basil Richard, Johnson C. Smith (assistant), ga, [1996, 1996]
Basil Richard, Savannah State (assistant), ga, [1997, 2003]
Basil Richard, Savannah State, hc, [2003, 2005]
Bath Mike, Miami (OH) (GA), ga, [2004, 2005]
Bath Mike, Miami (OH) (TE), hc, [2006, 2008]
Bath Mike, Ashland (OC/QB/WR), oc, [2009, 2010]
Bath Mike, Miami (OH) (TE/WR), hc, [2011, 2011]
Bath Mike, Miami (OH) (QB), qb, [2012, 2012]
Bath Mike, Miami (OH) (QB/WR), qb, [2013, 2013]
Bath Mike, Miami (OH) (interim), hc, [2013, 2013]
Bath Mike, Wyoming (RB/FB), rb, [2014, -1]
Beamer Frank, Maryland (GA), ga, [1972, 1972]
Beamer Frank, The Citadel (DL), dl, [1973, 1976]
Beamer Frank, The Citadel (DC), dc, [1977, 1978]
Beamer Frank, Murray State (DC), dc, [1979, 1980]
Beamer Frank, Murray State, hc, [1981, 1986]
Beamer Frank, Virginia Tech, hc, [1987, -1]
Beard Ronald, Central State (assistant), ga, [1973, 1977]
Beard Ronald, North Carolina A&T (assistant), ga, [1978, 1983]
Beard Ronald, Prairie View A&M (assistant), ga, [1984, 1990]
Beard Ronald, Prairie View A&M, hc, [1991, 1994]
Beatty Shane, West Virginia Tech, hc, [2006, 2007]
Beck Tim, Miramar HS (AC), hc, [1988, 1989]
Beck Tim, Illinois State (LB/P), lb, [1990, 1990]
Beck Tim, Kansas State (GA), ga, [1991, 1992]
Beck Tim, Saguaro HS, hc, [1993, 1995]
Beck Tim, Missouri State (AC), hc, [1996, 1997]
Beck Tim, Missouri State (OC), oc, [1998, 1998]
Beck Tim, RL Turner HS, hc, [1999, 2001]
Beck Tim, Mansfield Summit HS, hc, [2002, 2004]
Beck Tim, Kansas (WR), wr, [2005, 2006]
Beck Tim, Kansas (WR/PGC), wr, [2007, 2007]
Beck Tim, Nebraska (RB), rb, [2008, 2010]
Beck Tim, Nebraska (OC/QB), oc, [2011, -1]
Beckman Tim, Auburn (GA), ga, [1988, 1989]
Beckman Tim, Western Carolina (SC/RC), hc, [1990, 1995]
Beckman Tim, Elon (DC/RC), dc, [1996, 1997]
Beckman Tim, Bowling Green (DC), dc, [1998, 2004]
Beckman Tim, Ohio State (CB), hc, [2005, 2006]
Beckman Tim, Oklahoma State (DC), dc, [2007, 2008]
Beckman Tim, Toledo, hc, [2009, 2011]
Beckman Tim, Illinois, hc, [2012, 2014]
Bedesem Richard V. Dick, Temple (DB), db, [1973, 1974]
Bedesem Richard V. Dick, Villanova, hc, [1975, 1980]
Bedesem Richard V. Dick, Pittsburgh (assistant), ga, [1981, 1981]
Bedesem Richard V. Dick, Delaware Valley, hc, [1987, 1991]
Behrns Pat, Dakota State (DB), db, [1972, 1972]
Behrns Pat, New Mexico State (GA), ga, [1973, 1974]
Behrns Pat, North Dakota (DB/RC), db, [1975, 1979]
Behrns Pat, North Dakota, hc, [1980, 1985]
Behrns Pat, Utah State (assistant), ga, [1986, 1991]
Behrns Pat, UNLV (OC), oc, [1992, 1993]
Behrns Pat, NebraskaOmaha, hc, [1994, 2010]
Bell Kerwin, University of Florida (GA) (1990), ga, [1990, -1]
Bell Kerwin, Toronto Argonauts (OC) (20002001), oc, [2000, 2001]
Bell Kerwin, Trinity Catholic High School (HC) (20012006), hc, [2001, 2006]
Bell Kerwin, Jacksonville University (HC) (2007present), hc, [2007, -1]
Bellard Emory, Ingleside (TX) HS, hc, [1952, 1954]
Bellard Emory, Breckenridge (TX) HS, hc, [1955, 1959]
Bellard Emory, San Angelo (TX) Central HS, hc, [1960, 1966]
Bellard Emory, Texas (OC), oc, [1967, 1971]
Bellard Emory, Texas A&M, hc, [1972, 1978]
Bellard Emory, Mississippi State, hc, [1979, 1985]
Bellard Emory, Spring Westfield (TX) HS, hc, [1988, 1993]
Bellotti Mike, UC Davis (assistant), ga, [1973, 1976]
Bellotti Mike, Cal State Hayward (OC), oc, [1977, 1978]
Bellotti Mike, Weber State (OC), oc, [1979, 1979]
Bellotti Mike, Cal State Hayward (OC), oc, [1980, 1983]
Bellotti Mike, Chico State, hc, [1984, 1988]
Bellotti Mike, Oregon (OC), oc, [1989, 1994]
Bellotti Mike, Oregon, hc, [1995, 2008]
Bennett David, Catawba, hc, [1994, 2001]
Bennett David, Coastal Carolina, hc, [2001, 2011]
Bennett Phil, Texas A&M (TE coach), hc, [1979, 1981]
Bennett Phil, TCU (TE/DT coach), hc, [1982, 1982]
Bennett Phil, Iowa State (DC), dc, [1983, 1986]
Bennett Phil, Purdue (DC), dc, [1987, 1991]
Bennett Phil, LSU (DC), dc, [1992, 1994]
Bennett Phil, Texas A&M (DC), dc, [1995, 1996]
Bennett Phil, TCU (DC), dc, [1997, 1997]
Bennett Phil, Oklahoma (DB coach), db, [1998, 1998]
Bennett Phil, Kansas State (DC), dc, [1999, 2001]
Bennett Phil, SMU, hc, [2002, 2007]
Bennett Phil, Pittsburgh (DC), dc, [2008, 2010]
Bennett Phil, Pittsburgh (Interim HC), hc, [2010, 2010]
Bennett Phil, Baylor (DC), dc, [2011, -1]
Bentley Bobby, Duncan Byrnes HS (Asst.), hc, [1990, 1994]
Bentley Bobby, Duncan Byrnes HS, hc, [1995, 2006]
Bentley Bobby, Presbyterian College, hc, [2007, 2008]
Bentley Bobby, Duncan Byrnes (AD/OC), hc, [2009, -1]
Bernard Brad, Georgia Southern (assistant), ga, [1990, 1990]
Bernard Brad, Sandalwood High School (assistant), ga, [1991, 1994]
Bernard Brad, Mandarin High School (assistant), ga, [1994, 1996]
Bernard Brad, William M. Raines High School (assistant), ga, [1997, 1997]
Bernard Brad, Bethune-Cookman (assistant), ga, [1998, 2009]
Bernard Brad, Howard (assistant), ga, [2010, 2010]
Bernard Brad, Edward Waters College, hc, [2011, 2013]
Bernard Joe, Bethlehem Catholic HS (asst.), hc, [1983, 1984]
Bernard Joe, Nazareth HS (asst.), hc, [1985, 1989]
Bernard Joe, Nazareth HS, hc, [1990, 1995]
Bernard Joe, Fairfield (DC), dc, [1996, 2000]
Bernard Joe, Fairfield, hc, [2001, 2002]
Bernard Joe, Duquesne (DC), dc, [2003, 2010]
Bernard Joe, Stroudsburg HS, hc, [2011, -1]
Berndt Jerry, Toledo (GA), ga, [1969, 1969]
Berndt Jerry, Streetsboro HS (OH), hc, [1970, 1970]
Berndt Jerry, Dartmouth (assistant), ga, [1971, 1978]
Berndt Jerry, DePauw, hc, [1979, 1980]
Berndt Jerry, Penn, hc, [1981, 1985]
Berndt Jerry, Rice, hc, [1986, 1988]
Berndt Jerry, Temple, hc, [1989, 1992]
Berndt Jerry, Missouri (OC/QB), oc, [1994, 1999]
Berry Todd, Tennessee (TE), hc, [1983, 1983]
Berry Todd, Tulsa (WR), wr, [1984, 1984]
Berry Todd, Oklahoma State (QB), qb, [1985, 1985]
Berry Todd, Tennessee-Martin (OC/QB), oc, [1986, 1988]
Berry Todd, Mississippi State (WR), wr, [1989, 1990]
Berry Todd, SE Missouri St. (OC/QB), oc, [1991, 1991]
Berry Todd, East Carolina (OC/RB), oc, [1992, 1995]
Berry Todd, Illinois State, hc, [1996, 1999]
Berry Todd, Army, hc, [2000, 2003]
Berry Todd, LouisianaMonroe (OC/QB), oc, [2004, 2005]
Berry Todd, Miami (FL) (QB), qb, [2006, 2006]
Berry Todd, UNLV (OC/QB), oc, [2007, 2009]
Berry Todd, LouisianaMonroe, hc, [2010, -1]
Bible Dana, , hc, [-1, -1]
Bible Dana, Mississippi College, hc, [1913, 1915]
Bible Dana, LSU, hc, [1916, 1916]
Bible Dana, Texas A&M, hc, [1917, 1917]
Bible Dana, Texas A&M, hc, [1919, 1928]
Bible Dana, Nebraska, hc, [1929, 1936]
Bible Dana, Texas, hc, [1937, 1946]
Bible Dana, , hc, [-1, -1]
Bible Dana, , hc, [-1, -1]
Bible Dana, Texas A&M, hc, [1920, 1927]
Bible Dana, , hc, [-1, -1]
Bible Dana, , hc, [-1, -1]
Bible Dana, Texas A&M, hc, [1920, 1921]
Bicknell Jr. Jack, Boston College (GA), ga, [1986, 1986]
Bicknell Jr. Jack, New Hampshire (DL), dl, [1987, 1992]
Bicknell Jr. Jack, New Hampshire (OL), ol, [1993, 1996]
Bicknell Jr. Jack, Louisiana Tech (OL), ol, [1997, 1998]
Bicknell Jr. Jack, Louisiana Tech, hc, [1999, 2006]
Bicknell Jr. Jack, Boston College (OL), ol, [2007, 2008]
Bicknell Jr. Jack, New York Giants (Asst. OL), hc, [2009, 2011]
Bicknell Jr. Jack, Kansas City Chiefs (OL), ol, [2012, 2012]
Bicknell Jr. Jack, Pittsburgh Steelers (OL), ol, [2013, 2013]
Bicknell Jr. Jack, Miami Dolphins (Asst. OL), hc, [2014, -1]
Bicknell Sr. Jack, Governor Livingston HS (NJ), hc, [1961, 967]
Bicknell Sr. Jack, Boston College (backfield), hc, [1968, 1975]
Bicknell Sr. Jack, Maine, hc, [1976, 1980]
Bicknell Sr. Jack, Boston College, hc, [1981, 1990]
Bicknell Sr. Jack, Barcelona Dragons, hc, [1991, 2003]
Bicknell Sr. Jack, Scottish Claymores, hc, [2004, 2004]
Bicknell Sr. Jack, Hamburg Sea Devils, hc, [2005, 2007]
Biddle Dick, Allegheny (assistant), ga, [1973, 1976]
Biddle Dick, Colgate (assistant), ga, [1977, 1982]
Biddle Dick, Virginia Tech (assistant), ga, [1983, 1984]
Biddle Dick, Minnesota (assistant), ga, [1985, 1989]
Biddle Dick, Navy (assistant), ga, [1990, 1991]
Biddle Dick, Colgate (assistant), ga, [1992, 1995]
Biddle Dick, Colgate, hc, [1996, 2013]
Bielema Bret, Iowa (GA), ga, [1994, 1995]
Bielema Bret, Iowa (LB), lb, [1996, 2001]
Bielema Bret, Kansas State (Co-DC), dc, [2002, 2003]
Bielema Bret, Wisconsin (DC), dc, [2004, 2005]
Bielema Bret, Wisconsin, hc, [2006, 2012]
Bielema Bret, Arkansas, hc, [2013, -1]
Biesiot Hank, , hc, [-1, -1]
Biesiot Hank, Langdon HS (ND), hc, [1968, 1971]
Biesiot Hank, Dickinson State (DC), hc, [1972, 1975]
Biesiot Hank, Dickinson State, hc, [1976, 2013]
Biesiot Hank, , hc, [-1, -1]
Biggs Bob, UC Davis (assistant), ga, [1978, 1986]
Biggs Bob, UC Davis (OC), oc, [1987, 1992]
Biggs Bob, UC Davis, hc, [1993, 2012]
Black Robert, Sewanee (DC), dc, [1990, 1996]
Black Robert, Episcopal School of Texas, hc, [1996, 2002]
Black Robert, Montgomery Bell Academy (AC), hc, [2002, 2007]
Black Robert, Sewanee, hc, [2007, 2010]
Blackney Gary, UConn (GA), ga, [1968, 1969]
Blackney Gary, Brown (DB), db, [1970, 1972]
Blackney Gary, Rhode Island (OB), hc, [1973, 1974]
Blackney Gary, Wisconsin (DB), db, [1975, 1976]
Blackney Gary, Wisconsin (DC), dc, [1977, 1977]
Blackney Gary, UCLA (DB), db, [1978, 1979]
Blackney Gary, Syracuse (DB), db, [1980, 1983]
Blackney Gary, Ohio State (DB), db, [1984, 1984]
Blackney Gary, Ohio State (DC), dc, [1985, 1987]
Blackney Gary, Ohio State (ILB), hc, [1988, 1990]
Blackney Gary, Bowling Green, hc, [1991, 2000]
Blackney Gary, Maryland (DC), dc, [2001, 2005]
Blackney Gary, Central Florida (DB), db, [2008, -1]
Blake John, Tulsa (TE/WR), hc, [1987, 1988]
Blake John, Oklahoma (DL), dl, [1989, 1989]
Blake John, Oklahoma (LB), lb, [1990, 1992]
Blake John, Dallas Cowboys (DL), dl, [1993, 1995]
Blake John, Oklahoma, hc, [1996, 1998]
Blake John, Mississippi State (DL), dl, [2003, 2003]
Blake John, Nebraska (DL), dl, [2004, 2006]
Blake John, North Carolina (DL), dl, [2007, 2010]
Blakeney Larry, , hc, [-1, -1]
Blankenship Bill, Spiro HS, hc, [1986, 1989]
Blankenship Bill, Edmond Memorial HS, hc, [1990, 1991]
Blankenship Bill, Union HS, hc, [1992, 2005]
Blount Kermit, Winston-Salem State, hc, [1993, 2009]
Blount Kermit, Delaware State, hc, [2011, -1]
Bobo John, Alabama (GA/OL), ga, [1986, 1986]
Bobo John, Tampa Bay Buccaneers (assistant), ga, [1987, 1990]
Bobo John, Louisville (assistant), ga, [1991, 1991]
Bobo John, Arkansas State (OL), ol, [1992, 1992]
Bobo John, Arkansas State, hc, [1993, 1997]
Boehland Mel, Northwestern (MN) Eagles, hc, [1972, 1988]
Boehland Mel, North Park, hc, [1989, -1]
Bohl Craig, North Dakota State (DB), db, [1984, 1984]
Bohl Craig, Tulsa (LB), lb, [1985, 1986]
Bohl Craig, Wisconsin (LB), lb, [1987, 1988]
Bohl Craig, Rice (DC), dc, [1989, 1993]
Bohl Craig, Duke (LB/DC), lb, [1994, 1994]
Bohl Craig, Nebraska (LB), lb, [1995, 1999]
Bohl Craig, Nebraska (DC), dc, [2000, 2002]
Bohl Craig, North Dakota State, hc, [2003, 2013]
Bohl Craig, Wyoming, hc, [2014, -1]
Bolstorff David, Waldorf, hc, [2003, 2006]
Bowden Bobby, Howard (AL) (OC), oc, [1954, 1955]
Bowden Bobby, South Georgia JC, hc, [1956, 1958]
Bowden Bobby, Howard (AL), hc, [1959, 1962]
Bowden Bobby, Florida State (WR), wr, [1963, 1965]
Bowden Bobby, West Virginia (OC), oc, [1966, 1969]
Bowden Bobby, West Virginia, hc, [1970, 1975]
Bowden Bobby, Florida State, hc, [1976, 2009]
Bowden Terry, Florida State (GA), ga, [1982, 1982]
Bowden Terry, Salem, hc, [1983, 1985]
Bowden Terry, Akron (assistant), ga, [1986, 1986]
Bowden Terry, Samford, hc, [1987, 1992]
Bowden Terry, Auburn, hc, [1993, 1998]
Bowden Terry, North Alabama, hc, [2009, 2011]
Bowden Terry, Akron, hc, [2012, -1]
Bowden Tommy, West Virginia (GA), ga, [1977, 1977]
Bowden Tommy, Florida State (DB), db, [1978, 1979]
Bowden Tommy, Auburn (RB), rb, [1980, 1980]
Bowden Tommy, Florida State (TE), hc, [1981, 1982]
Bowden Tommy, Duke (QB), qb, [1983, 1984]
Bowden Tommy, Duke (OC), oc, [1985, 1986]
