Darnell Gary, Texas (Asst. HC/DC), hc, [1994, 1996]
Darnell Gary, Western Michigan, hc, [1997, 2004]
Darnell Gary, Texas A&M (DC), dc, [2006, 2007]
Darnell Gary, Texas A&M (Interim HC), hc, [2007, -1]
Davenport Steve, UAB (RB), rb, [2005, 2010]
Davenport Steve, Savannah State, hc, [2011, 2013]
Davie Bob, Pittsburgh (GA), ga, [1977, 1977]
Davie Bob, Arizona (LB), lb, [1978, 1979]
Davie Bob, Pittsburgh (LB), lb, [1980, 1982]
Davie Bob, Tulane (DC), dc, [1983, 1984]
Davie Bob, Texas A&M (LB), lb, [1985, 1988]
Davie Bob, Texas A&M (DC), dc, [1989, 1993]
Davie Bob, Notre Dame (DC), dc, [1994, 1996]
Davie Bob, Notre Dame, hc, [1997, 2001]
Davie Bob, New Mexico, hc, [2012, -1]
Davis Butch, Fayetteville HS (AR) (DC), dc, [1973, 1973]
Davis Butch, Pawhuska HS (OK) (DC), dc, [1974, 1975]
Davis Butch, Charles Page HS (OK) (DC), dc, [1976, 1977]
Davis Butch, Will Rogers HS (OK), hc, [1978, 1978]
Davis Butch, Oklahoma State (TE/WR), hc, [1979, 1983]
Davis Butch, Miami (DL), dl, [1984, 1988]
Davis Butch, Dallas Cowboys (DL), dl, [1989, 1992]
Davis Butch, Dallas Cowboys (DC), dc, [1993, 1994]
Davis Butch, Miami, hc, [1995, 2000]
Davis Butch, Cleveland Browns, hc, [2001, 2004]
Davis Butch, North Carolina, hc, [2007, 2010]
Davis Greg, Barbe HS (Assist.), hc, [1973, 1974]
Davis Greg, PNG HS (Assist.), hc, [1975, 1977]
Davis Greg, Texas A&M (QB), qb, [1978, 1984]
Davis Greg, Tulane (WR), wr, [1985, 1987]
Davis Greg, Tulane, hc, [1988, 1991]
Davis Greg, Arkansas (OC), oc, [1992, 1993]
Davis Greg, Georgia (OC), oc, [1994, 1995]
Davis Greg, North Carolina (OC), oc, [1996, 1997]
Davis Greg, Texas (OC), oc, [1998, 2010]
Davis Greg, Iowa (OC/QB), oc, [2012, -1]
Davis William R. Bill, Adrian, hc, [1968, 1973]
Daye Daryl, LSU (GA), ga, [1986, 1988]
Daye Daryl, Southern Miss (GA), ga, [1989, 1990]
Daye Daryl, Liberty (DC/DL), dc, [1991, 1998]
Daye Daryl, Nicholls State, hc, [1999, 2003]
Daye Daryl, Southern (ST), st, [2004, 2005]
Daye Daryl, Missouri Southern (DC), dc, [2006, 2009]
Daye Daryl, Buffalo Bills (assistant to HC), ga, [2010, 2011]
Daye Daryl, Missouri Southern, hc, [2012, -1]
Dean David, Georgia Tech (GA), ga, [1986, 1986]
Dean David, Avondale HS (WR), wr, [1987, 1987]
Dean David, Valdosta State (WR), wr, [1988, 1991]
Dean David, West Georgia (RB), rb, [1992, 1992]
Dean David, West Georgia (RB/ST), rb, [1993, 1997]
Dean David, West Georgia (OC/QB), oc, [1998, 1999]
Dean David, Valdosta State (OC/QB), oc, [2000, 2006]
Dean David, Valdosta State, hc, [2007, -1]
Deaton Jim, Campbellsville, hc, [2005, 2007]
DeBerry Fisher, , hc, [-1, -1]
DeBerry Fisher, Wofford (assistant), hc, [1969, 1970]
DeBerry Fisher, Appalachian State (assistant), hc, [1971, 1979]
DeBerry Fisher, Air Force (QB), hc, [1980, 1980]
DeBerry Fisher, Air Force (OC/QB), hc, [1981, 1983]
DeBerry Fisher, Air Force, hc, [1984, 2006]
DeBerry Fisher, , hc, [-1, -1]
DeBerry Fisher, , hc, [-1, -1]
DeBerry Fisher, Wofford, hc, [1970, -1]
DeBesse Bob, Texas State (GA), ga, [1981, 1982]
DeBesse Bob, TCU (RB/QB), rb, [1983, 1989]
DeBesse Bob, TCU (OC), oc, [1990, 1991]
DeBesse Bob, Minnesota (OC), oc, [1992, 1996]
DeBesse Bob, Texas State, hc, [1997, 2002]
DeBesse Bob, Purdue (WR), wr, [2003, 2005]
DeBesse Bob, Texas A&M (WR), wr, [2006, 2007]
DeBesse Bob, Consol HS (asst.), hc, [2008, 2009]
DeBesse Bob, Sam Houston State (OC), oc, [2010, 2011]
DeBesse Bob, New Mexico (OC), oc, [2012, 2013]
DeBord Mike, Franklin (IN) (OL), ol, [1982, 1983]
DeBord Mike, Fort Hays State (OL), ol, [1984, 1984]
DeBord Mike, Fort Hays State (OC/QB/WR), oc, [1985, 1986]
DeBord Mike, Eastern Illinois (OL), ol, [1987, 1988]
DeBord Mike, Ball State (OL), ol, [1988, 1989]
DeBord Mike, Colorado State (OL), ol, [1990, 1991]
DeBord Mike, Northwestern (OL), ol, [1992, 1992]
DeBord Mike, Michigan (OL), ol, [1992, 1996]
DeBord Mike, Michigan (OC), oc, [1997, 1999]
DeBord Mike, Central Michigan, hc, [2000, 2003]
DeBord Mike, Michigan (ST/RC), st, [2004, 2005]
DeBord Mike, Michigan (OC/TE), oc, [2006, 2007]
DeBord Mike, Seattle Seahawks (Asst. OL), hc, [2008, 2008]
DeBord Mike, Seattle Seahawks (TE), hc, [2009, 2009]
DeBord Mike, Chicago Bears (TE), hc, [2010, 2012]
Delaney Mick, Great Falls HS (MT), hc, [1974, 1977]
Delaney Mick, Montana State (assistant), ga, [1978, 1980]
Delaney Mick, Western Montana, hc, [1991, 1992]
Delaney Mick, Colorado State (RB), rb, [1993, 2007]
Delaney Mick, Montana (RB), rb, [2008, 2008]
Delaney Mick, Montana (assistant HC/RB), ga, [2009, 2009]
Delaney Mick, Montana (associate HC/RB), hc, [2010, 2011]
Delaney Mick, Montana, hc, [2012, -1]
DeMarco Geno, Georgia Tech (GA), ga, [1985, 1985]
DeMarco Geno, West Virginia (DL/DB), dl, [1986, 1987]
DeMarco Geno, Geneva, hc, [1993, -1]
DeMeo Tony, Pace (assistant), ga, [1973, 1974]
DeMeo Tony, Iona, hc, [1975, 1978]
DeMeo Tony, Penn (assistant), ga, [1979, 1980]
DeMeo Tony, Mercyhurst, hc, [1981, 1987]
DeMeo Tony, Temple (assistant), ga, [1988, 1989]
DeMeo Tony, James Madison (OC), oc, [1990, 1991]
DeMeo Tony, Murray State (OC), oc, [1992, 1993]
DeMeo Tony, Washburn, hc, [1994, 2001]
DeMeo Tony, Richmond (OC), oc, [2002, 2004]
DeMeo Tony, Charleston (WV), hc, [2005, -1]
Dempsey Rey, Youngstown State, hc, [1973, 1974]
Dempsey Rey, Detroit Lions (ST), hc, [1975, 1975]
Dempsey Rey, Southern Illinois, hc, [1976, 1983]
Dempsey Rey, Memphis State, hc, [1984, 1985]
Dennehy Mick, Colton HS (WA), hc, [1975, 1978]
Dennehy Mick, Helena HS (MT), hc, [1979, 1981]
Dennehy Mick, Montana State (assistant), ga, [1980, 1981]
Dennehy Mick, Montana State (assistant), ga, [1982, 1987]
Dennehy Mick, Montana State (assistant), ga, [1988, 1990]
Dennehy Mick, Montana State (assistant), ga, [1991, 1995]
Dennehy Mick, Montana State (assistant), ga, [1996, 1999]
Dennehy Mick, Montana State (assistant), ga, [2000, 2004]
Dennison Jim, , hc, [-1, -1]
Dennison Jim, Wadsworth HS (OH) (assistant), hc, [1960, 1960]
Dennison Jim, Elyria HS (OH) (assistant), hc, [1961, 1963]
Dennison Jim, Copley HS (OH), hc, [1964, 1964]
Dennison Jim, Akron (assistant), hc, [1965, 1972]
Dennison Jim, Akron, hc, [1973, 1985]
Dennison Jim, Walsh, hc, [1995, 2012]
Dennison Jim, , hc, [-1, -1]
Dennison Jim, , hc, [-1, -1]
Dennison Jim, Akron, hc, [1966, -1]
Deromedi Herb, Central Michigan (assistant), ga, [1967, 1977]
Deromedi Herb, Central Michigan, hc, [1978, 1993]
DeRuyter Tim, Air Force (asst.), hc, [1991, 94]
DeRuyter Tim, Ohio (DC/Secondary), dc, [1995, 98]
DeRuyter Tim, Navy (Secondary), hc, [1999, 2001]
DeRuyter Tim, Ohio (DC/Secondary), dc, [2002, 4]
DeRuyter Tim, Nevada (co-DC), dc, [2005, 6]
DeRuyter Tim, Air Force (DC/Safeties), dc, [2007, 9]
DeRuyter Tim, Texas A&M (DC), dc, [2010, 2011]
DeRuyter Tim, Texas A&M (Interim HC), hc, [2011, 2011]
DeRuyter Tim, Fresno State, hc, [2012, -1]
Dickerson Jr. Ron, Kansas State (CB), hc, [1973, 1975]
Dickerson Jr. Ron, Louisville (CB), hc, [1976, 1978]
Dickerson Jr. Ron, Pittsburgh (CB), hc, [1979, 1980]
Dickerson Jr. Ron, Colorado (CB), hc, [1982, 1984]
Dickerson Jr. Ron, Penn State (CB), hc, [1985, 1990]
Dickerson Jr. Ron, Clemson (DC), dc, [1991, 1992]
Dickerson Jr. Ron, Temple, hc, [1993, 1997]
Dickerson Jr. Ron, Alabama State, hc, [1998, 1999]
Dickerson Jr. Ron, Lambuth, hc, [2010, 2010]
Dickerson Jr. Ron, Gardner-Webb (DL), dl, [2011, -1]
Dickerson Sr. Ron, Kansas State (CB), hc, [1973, 1975]
Dickerson Sr. Ron, Louisville (CB), hc, [1976, 1978]
Dickerson Sr. Ron, Pittsburgh (CB), hc, [1979, 1980]
Dickerson Sr. Ron, Colorado (CB), hc, [1982, 1984]
Dickerson Sr. Ron, Penn State (CB), hc, [1985, 1990]
Dickerson Sr. Ron, Clemson (DC), dc, [1991, 1992]
Dickerson Sr. Ron, Temple, hc, [1993, 1997]
Dickerson Sr. Ron, Alabama State, hc, [1998, 1999]
Dickerson Sr. Ron, Lambuth, hc, [2010, 2010]
Dickerson Sr. Ron, Gardner-Webb (DL), dl, [2011, -1]
Dickey Darrell, Texas A&M (GA), ga, [1985, 1985]
Dickey Darrell, Memphis (OC), oc, [1986, 1989]
Dickey Darrell, Mississippi State (QB/RB), qb, [1990, 1990]
Dickey Darrell, LSU (TE), hc, [1991, 1993]
Dickey Darrell, UTEP (OC), oc, [1994, 1996]
Dickey Darrell, SMU (OC), oc, [1997, 1997]
Dickey Darrell, North Texas, hc, [1998, 2006]
Dickey Darrell, Utah State (OC/QB), oc, [2007, 2008]
Dickey Darrell, New Mexico (OC/RB), oc, [2009, 2010]
Dickey Darrell, Texas State (Co-OC/RB), oc, [2011, 2011]
Dickey Darrell, Memphis (OC/RB), oc, [2012, -1]
Dickey Daryl, Tennessee (GA), ga, [1987, 1987]
Dickey Daryl, Milano Rhinos (OC), oc, [1988, 1988]
Dickey Daryl, Tennessee (assistant QB), ga, [1988, 1988]
Dickey Daryl, Florida State (QB), qb, [1989, 1989]
Dickey Daryl, Kentucky (QB), qb, [1990, 1993]
Dickey Daryl, Kentucky (OC), oc, [1994, 1994]
Dickey Daryl, Georgia Southern (OC/QB), oc, [1995, 1996]
Dickey Daryl, Presbyterian, hc, [1997, 2000]
Dickey Daryl, Florida State (QB), qb, [2001, 2006]
Dickey Daryl, West Georgia, hc, [2008, 2013]
Dickey Jim, Houston (assistant), ga, [1963, 1965]
Dickey Jim, Oklahoma State (assistant), ga, [1966, 1969]
Dickey Jim, Oklahoma (DB), db, [1970, 1972]
Dickey Jim, Kansas (DC), dc, [1973, 1974]
Dickey Jim, North Carolina (DC), dc, [1975, 1977]
Dickey Jim, Kansas State, hc, [1978, 1985]
Dickey Jim, Florida (ILB), hc, [1986, 1987]
Dickey Jim, Florida (DB), db, [1988, 1989]
Dimel Dana, Kansas State (OL), ol, [1987, 1994]
Dimel Dana, Kansas State (OC/OL), oc, [1995, 1996]
Dimel Dana, Wyoming, hc, [1997, 1999]
Dimel Dana, Houston, hc, [2000, 2002]
Dimel Dana, Kansas State (assistant), ga, [2005, 2005]
Dimel Dana, Arizona (TE), hc, [2006, 2008]
Dimel Dana, Kansas State (co-OC/RB), oc, [2009, -1]
DiNardo Gerry, Maine (assistant), ga, [1975, 1976]
DiNardo Gerry, Eastern Michigan (assistant)[1], ga, [1977, 1981]
DiNardo Gerry, Colorado (assistant), ga, [1982, 1990]
DiNardo Gerry, Vanderbilt, hc, [1991, 1994]
DiNardo Gerry, LSU, hc, [1995, 1999]
DiNardo Gerry, Birmingham Thunderbolts, hc, [2001, 2001]
DiNardo Gerry, Indiana, hc, [2002, 2004]
Doba Bill, Goshen HS (IN) (assistant), ga, [1962, 1964]
Doba Bill, Angola HS (IN) (assistant), ga, [1965, 1966]
Doba Bill, Goshen HS (IN), hc, [1968, 1970]
Doba Bill, Mishawaka HS (IN), hc, [1971, 1976]
Doba Bill, Indiana (assistant), ga, [1977, 1982]
Doba Bill, Purdue (assistant), ga, [1983, 1986]
Doba Bill, Citadel (DC/OLB), dc, [1987, 1988]
Doba Bill, Washington State (LB), lb, [1989, 1990]
Doba Bill, Washington State (def. asst.), dl, [1991, 1993]
Doba Bill, Washington State (DC/LB), dc, [1994, 2002]
Doba Bill, Washington State, hc, [2003, 2007]
Dodge Todd, Rockwall (TX) HS (QB/WR), qb, [1987, 1987]
Dodge Todd, McKinney (TX) HS (OC), oc, [1988, 1991]
Dodge Todd, North Texas (QB/WR), qb, [1992, 1993]
Dodge Todd, Cameron (TX) Yoe HS, hc, [1994, 1995]
Dodge Todd, Carrollton (TX) Newman Smith HS, hc, [1996, 1997]
Dodge Todd, Keller (TX) Fossil Ridge HS, hc, [1998, 1999]
Dodge Todd, Southlake (TX) Carroll HS, hc, [2000, 2006]
Dodge Todd, North Texas, hc, [2007, 2010]
Dodge Todd, Pittsburgh (QB), qb, [2011, 2011]
Dodge Todd, Marble Falls (TX) HS, hc, [2012, -1]
Doeren Dave, Drake (LB), lb, [1995, 1996]
Doeren Dave, Drake (DC/DB), dc, [1997, 1997]
Doeren Dave, USC (GA), ga, [1998, 1999]
Doeren Dave, Montana (DB), db, [2000, 2001]
Doeren Dave, Kansas (LB/RC), lb, [2002, 2004]
Doeren Dave, Kansas (co-DC/LB/RC), dc, [2005, 2005]
Doeren Dave, Wisconsin (co-DC/LB/RC), dc, [2006, 2007]
Doeren Dave, Wisconsin (DC/LB), dc, [2008, 2010]
Doeren Dave, Northern Illinois, hc, [2011, 2012]
Doeren Dave, NC State, hc, [2013, -1]
Dolch Dave, Morningside, hc, [1989, 1992]
Dolinski Joel, Seton Hill, hc, [1998, -1]
Donahue Terry, Kansas (assistant), ga, [1968, 1970]
Donahue Terry, UCLA (assistant), ga, [1971, 1975]
Donahue Terry, UCLA, hc, [1976, 1995]
Donley Kevin, Anderson (IN) (OC), oc, [1976, 1977]
Donley Kevin, Anderson (IN), hc, [1978, 1981]
Donley Kevin, Georgetown (KY), hc, [1982, 1992]
Donley Kevin, California (PA), hc, [1993, 1996]
Donley Kevin, Saint Francis (IN), hc, [1998, -1]
Donnan Jim, NC State (assistant), ga, [1969, 1971]
Donnan Jim, Florida State (assistant), ga, [1972, 1973]
Donnan Jim, North Carolina (assistant), ga, [1974, 1977]
Donnan Jim, Kansas State (assistant), ga, [1978, 1980]
Donnan Jim, Missouri (assistant), ga, [1981, 1984]
Donnan Jim, Oklahoma (OC), oc, [1985, 1989]
Donnan Jim, Marshall, hc, [1990, 1995]
Donnan Jim, Georgia, hc, [1996, 2000]
Donnelly James Boots, Father Ryan HS (TN) (assistant), ga, [1967, 1973]
Donnelly James Boots, Father Ryan HS (TN), hc, [1974, 1975]
Donnelly James Boots, Vanderbilt (offensive backfield), hc, [1976, 1976]
Donnelly James Boots, Austin Peay, hc, [1977, 1978]
Donnelly James Boots, Middle Tennessee, hc, [1979, 1998]
Donovan Larry, South Dakota (assistant), ga, [1967, 1971]
Donovan Larry, Washington State (assistant), ga, [1972, 1975]
Donovan Larry, Iowa (assistant), ga, [1976, 1978]
Donovan Larry, Kansas (assistant), ga, [1979, 1979]
Donovan Larry, Montana, hc, [1980, 1985]
Donovan Larry, BC Lions (DL/ST), dl, [1986, 1987]
Donovan Larry, BC Lions, hc, [1987, 1989]
Donovan Larry, Saskatchewan Roughriders (LB/ST), lb, [1990, 1991]
Dooley Bill, Mississippi State (freshmen, asst. OL), hc, [1957, 1960]
Dooley Bill, Mississippi State (OL), ol, [1963, 1963]
Dooley Bill, Georgia (assistant), ga, [1964, 1966]
Dooley Bill, North Carolina, hc, [1967, 1977]
Dooley Bill, Virginia Tech, hc, [1978, 1986]
Dooley Bill, Wake Forest, hc, [1987, 1992]
Dooley Derek, Georgia (GA), ga, [1996, 1996]
Dooley Derek, SMU (WR), wr, [1997, 1999]
Dooley Derek, LSU (TE/RC), hc, [2000, 2002]
Dooley Derek, LSU (RB/ST), rb, [2003, 2004]
Dooley Derek, Miami Dolphins (TE), hc, [2005, 2006]
Dooley Derek, Louisiana Tech, hc, [2007, 2009]
Dooley Derek, Tennessee, hc, [2010, 2012]
Dooley Derek, Dallas Cowboys (WR), wr, [2013, -1]
Dooley Vince, Auburn (assistant), ga, [1956, 1963]
Dooley Vince, Georgia, hc, [1964, 1988]
Dorr Ray, Akron (GA), ga, [1967, 1967]
Dorr Ray, Akron (OB), hc, [1968, 1970]
Dorr Ray, Kent State (QB), qb, [1971, 1974]
