barlow reggie,0.171704774,9
barnard charles a,-0.831589404,2
barnard chester s,-0.169319125,18
barnard lester,0.393259104,4
barnes jack v,-0.052050712,3
barnes paul,-0.180625245,11
barnes se,0.065992755,5
barnes tommy,0.096551305,12
barnes william f bill,-0.31708969,7
barnes willis l,-0.205311963,5
barnett gary,0.004699718,25
barnhill john,0.360947262,8
barnum coach,-0.884886707,1
barnwell bob,-0.926990817,1
barofsky charles,-0.867393094,1
barr walter a,0.370434787,17
barret eugene duke,-0.461520208,6
barrett dennis,0.110994319,10
barron albert,-0.843877909,1
barron albert m,-0.781394219,2
barron irving j,0.874580245,1
barry gene,0.169395156,5
barry james h,0.846111255,1
barry justin m sam,-0.876713276,1
barry thomas a tom,0.26627745,6
bartell joseph a joe,0.138713861,21
barth kurt,0.217125391,5
barthelmess mike,-0.763758741,2
bartkiewicz walter walt,-0.030394898,2
bartlett chris,-0.683984471,1
bartling doby,-0.147732127,2
bartolomeo bob,0.597330989,6
bartosh gil,-0.479421443,3
basil richard,0.848788306,1
bass marvin,-0.42177551,6
bass wr,0.298453206,2
bateman jay,-0.641293881,4
bateman john f,0.093895399,13
bates charlie charles,0.062188764,8
bates william penn billy,-0.439047632,3
bates willis sherman billy,0.016434374,16
batey js,-0.906662394,2
bath mike,-0.304688072,11
batterson jim,-0.887181526,1
battle bill,0.126315249,7
battles coach,0.839721166,1
baudendistel steve,0.294611098,2
bauer emony g  reiner walt,0.028701153,8
bauer emory g,-0.014429012,14
baugh sammy,-0.357439585,5
baughan maxie,-0.043730043,6
baujan harry c,0.170255538,21
baum harry w,0.77116237,1
baumgarten ma,-0.894965159,1
baumgartner stan,-0.823053249,1
baxter james,0.607224004,1
bayne tl,0.25909324,2
baysinger reaves h,-0.828315438,2
beacham joseph w,0.269974593,2
beadle coach,-0.2899034,6
beal rich,-0.799190334,5
bealer george,-0.891859897,2
beall bill,-0.865459442,3
beamer frank,0.159741649,29
bean frank,-0.376468315,2
beard rich,-0.332881376,1
beard ronald,-0.817668494,16
bearg ernest e,0.285325771,4
bearly bill,-0.904198647,1
beaton chris,-0.195939184,19
beattie wendel e,-0.697134198,8
beattie william,-0.34417811,1
beattle mendell e,-0.211199139,5
beatty kenneth,-0.030792874,2
beatty shane,-0.885100801,2
beauchamp garvin,0.072369061,6
beauford terry j,-0.688803994,2
beaumont beauharnais beaumont,0,1
bechdolt adolph f,0,1
bechtel rw,-0.290114367,2
beck benjamin h ben,-0.15929186,14
beck bill,-0.627814823,5
beck jt,-0.734135498,6
beck tim,0.261577135,16
beck tom,0.717731139,6
beckelheimer herman r,-0.159999401,5
becker brent,-0.41802308,4
becker clyde,-0.844041739,1
becker paul a,-0.803001659,2
beckett wh,-0.926990817,1
beckman tim,-0.026109517,27
bedenk f joseph joe,-0.327571268,1
bedesem richard v dick,-0.169120506,14
bedini ben,0.068610928,5
bee clair f buzz,0.817107554,1
beechler roy,-0.826964033,1
beechner dick,0.017866862,5
beede dwight,-0.07032452,32
beeler dm,0.660276407,2
beeler luther m,-0.34417811,1
beene jones,0.462811151,1
begala joe,-0.767495293,2
beggs dave,-0.34417811,1
behrns pat,0.084382512,21
beightol larry,-0.819482427,1
belding lester c,-0.192485438,1
belenti mike,0.344570019,1
bell alexander f,0.217311176,7
bell art,-0.591767177,9
bell clifford,0.901594543,2
