"num_seasons","school","source","target","weight"
"2","auburn","1045","6380","0.03389830508474576"
"1","stephen f. austin","1045","4899","0.01694915254237288"
"1","clemson","1045","2086","0.01694915254237288"
"1","texas","1045","733","0.01694915254237288"
"3","ucf","1045","3568","0.05084745762711865"
"2","georgia tech","3962","2157","0.14285714285714285"
"1","boston college","3530","2787","0.030303030303030304"
"4","missouri","3530","6116","0.12121212121212122"
"1","oregon","3530","419","0.030303030303030304"
"1","brigham young","1814","4395","0.038461538461538464"
"7","brigham young","1814","3038","0.2692307692307692"
"1","florida","5120","5955","0.015873015873015872"
"2","wake forest","5120","1662","0.031746031746031744"
"4","virginia","5120","3803","0.06349206349206349"
"1","tulane","5120","6243","0.015873015873015872"
"2","wake forest","5120","2486","0.031746031746031744"
"2","michigan","946","5586","0.044444444444444446"
"1","eastern michigan","946","1046","0.022222222222222223"
"9","illinois","946","4411","0.2"
"3","west virginia","597","919","0.3"
"5","miami oh","2903","6539","0.4166666666666667"
"1","boston college","481","3796","0.019230769230769232"
"1","boston college","481","482","0.019230769230769232"
"3","new hampshire","481","4029","0.057692307692307696"
"2","new hampshire","481","4154","0.038461538461538464"
"3","purdue","4685","2971","0.09375"
"9","louisville","4685","5607","0.28125"
"19","west virginia","2928","4621","0.4318181818181818"
"4","nc state","2928","99","0.09090909090909091"
"2","florida","2928","4323","0.045454545454545456"
"1","west virginia","2928","6031","0.022727272727272728"
"3","abilene","6294","3490","0.125"
"1","abilene","6294","6077","0.041666666666666664"
"1","western illinois","6450","4876","0.021739130434782608"
"3","georgia","6450","5304","0.06521739130434782"
"1","central michigan","6450","2062","0.021739130434782608"
"1","ucf","6450","4155","0.021739130434782608"
"4","michigan","2116","1842","0.11764705882352941"
"4","cornell","2116","343","0.11764705882352941"
"1","hawaii","4241","3269","0.022727272727272728"
"1","utah","4241","4067","0.022727272727272728"
"2","texas tech","4241","3676","0.045454545454545456"
"1","navy","4241","1027","0.022727272727272728"
"1","arizona","4067","5589","0.029411764705882353"
"1","kentucky","4067","159","0.029411764705882353"
"4","utah","4067","3012","0.11764705882352941"
"2","western michigan","2584","2596","0.016129032258064516"
"2","michigan","2584","5586","0.016129032258064516"
"1","wisconsin","2584","485","0.008064516129032258"
"7","arizona","2584","7000","0.056451612903225805"
"1","kansas","2584","4009","0.008064516129032258"
"1","colorado","2584","1863","0.008064516129032258"
"5","texas a&m","2584","5811","0.04032258064516129"
"8","colorado","2584","4088","0.06451612903225806"
"1","colorado","2584","303","0.008064516129032258"
"6","northwestern","2584","2037","0.04838709677419355"
"2","kentucky","1590","5276","0.05714285714285714"
"1","kentucky","1590","1404","0.02857142857142857"
"2","tennessee","1590","3917","0.05714285714285714"
"1","north carolina a&t","6849","2717","0.02040816326530612"
"7","miami oh","6849","6539","0.14285714285714285"
"2","north carolina","6849","1376","0.04081632653061224"
"7","oklahoma","6849","6064","0.14285714285714285"
"3","south carolina","5070","2959","0.07692307692307693"
"1","south carolina","5070","5633","0.02564102564102564"
"1","south carolina st.","5070","1496","0.02564102564102564"
"1","west virginia","6181","919","0.05555555555555555"
"3","middle tennessee","6181","3079","0.16666666666666666"
"3","michigan state","255","5854","0.05172413793103448"
"1","new mexico","255","3812","0.017241379310344827"
"1","cincinnati","255","4387","0.017241379310344827"
"2","utah st.","255","122","0.034482758620689655"
"2","colorado st.","255","4158","0.034482758620689655"
"1","santa clara","6563","3923","0.08333333333333333"
"1","ucla","6522","1672","0.025"
"1","oklahoma st.","6522","5771","0.025"
"1","brigham young","6522","4293","0.025"
"4","new mexico","4293","3812","0.08333333333333333"
"1","brigham young","4293","1373","0.020833333333333332"
"1","oregon st.","4293","3550","0.020833333333333332"
"1","northern arizona","4293","210","0.020833333333333332"
"1","new mexico","6327","3812","0.023255813953488372"
"1","ucla","6327","1647","0.023255813953488372"
"4","texas a&m","6327","5811","0.09302325581395349"
"5","oregon","6327","703","0.11627906976744186"
"1","ohio","6127","3491","0.125"
"2","texas tech","6238","3464","0.2857142857142857"
"1","gardner-webb","262","4461","0.1111111111111111"
"2","tcu","241","4878","0.14285714285714285"
"2","nebraska","564","5911","0.16666666666666666"
"4","lsu","2030","5505","0.07142857142857142"
"1","lsu","2030","4342","0.017857142857142856"
"1","cincinnati","2030","4387","0.017857142857142856"
"2","fsu","2030","597","0.03571428571428571"
"3","auburn","2030","599","0.05357142857142857"
"7","furman","5540","5720","0.3181818181818182"
"4","furman","5540","244","0.18181818181818182"
"2","arizona","5859","7000","0.2222222222222222"
"1","albion","5133","5601","0.041666666666666664"
"1","albion","5133","5471","0.041666666666666664"
"1","northern illinois","3864","1268","0.017543859649122806"
"4","butler","3864","6178","0.07017543859649122"
"2","indiana","3864","2903","0.03508771929824561"
"2","ball st.","3864","5617","0.03508771929824561"
"1","eastern michigan","2404","567","0.023255813953488372"
"1","eastern michigan","2404","3946","0.023255813953488372"
"4","ball st.","2404","2869","0.09302325581395349"
"2","michigan tech","2404","3333","0.046511627906976744"
"2","colorado","3149","1364","0.028985507246376812"
"3","fsu","3149","4956","0.043478260869565216"
"1","michigan","3149","1842","0.014492753623188406"
"1","kansas","3149","4022","0.014492753623188406"
"1","northern illinois","914","914","0.05263157894736842"
"1","minnesota","914","4009","0.05263157894736842"
"12","washington","1050","5017","0.5454545454545454"
"3","missouri","1050","5859","0.13636363636363635"
"1","temple","3448","5280","0.014285714285714285"
"4","east carolina","3448","1773","0.05714285714285714"
"4","temple","3448","2373","0.05714285714285714"
"1","alabama","3448","769","0.014285714285714285"
"1","temple","3448","28","0.014285714285714285"
"7","temple","3448","6547","0.1"
"1","notre dame","4422","3372","0.015873015873015872"
"1","western carolina","4422","6080","0.015873015873015872"
"2","cincinnati","4422","5146","0.031746031746031744"
"3","illinois st.","4422","2734","0.047619047619047616"
"1","indiana st.","4422","6689","0.015873015873015872"
"1","virginia","4422","6673","0.015873015873015872"
"1","southern miss","4977","6288","0.022222222222222223"
"1","middle tennessee","4977","4103","0.022222222222222223"
"2","houston","4977","1615","0.044444444444444446"
"3","lsu","4977","4342","0.06666666666666667"
"1","southern arkansas","5349","2829","0.09090909090909091"
"1","minnesota","147","2989","0.011494252873563218"
"3","missouri","147","5017","0.034482758620689655"
"3","minnesota","147","665","0.034482758620689655"
"1","minnesota","147","4009","0.011494252873563218"
"3","minnesota","147","3436","0.034482758620689655"
"3","purdue","147","1173","0.034482758620689655"
"3","ball st.","147","2869","0.034482758620689655"
"10","tulane","147","5859","0.11494252873563218"
"2","pitt","1063","3316","0.0392156862745098"
"1","nc state","1063","1048","0.0196078431372549"
"1","pitt","1063","1962","0.0196078431372549"
"2","alabama","1063","4158","0.0392156862745098"
"2","arizona st.","3851","5395","0.08"
"1","arizona st.","3851","3582","0.04"
"7","cincinnati","2004","4387","0.6363636363636364"
"3","stanford","3839","1861","0.14285714285714285"
"2","colorado st.","3839","2179","0.09523809523809523"
"5","clemson","6175","599","0.13157894736842105"
"2","alabama","6175","5971","0.05263157894736842"
"1","alabama","6175","162","0.02631578947368421"
"1","indiana st.","5158","3157","0.07692307692307693"
"5","marshall","292","4032","0.11363636363636363"
"1","oklahoma","292","526","0.022727272727272728"
"1","vanderbilt","292","5745","0.022727272727272728"
"1","marshall","292","1653","0.022727272727272728"
"1","idaho state","5717","3550","0.01694915254237288"
"1","california","5717","2307","0.01694915254237288"
"1","kansas","5717","2399","0.01694915254237288"
"1","brigham young","5717","1814","0.01694915254237288"
"2","tcu","6310","4878","0.07692307692307693"
"3","alabama","6310","6343","0.11538461538461539"
"1","notre dame","3750","1959","0.045454545454545456"
"5","northern iowa","3750","758","0.22727272727272727"
"1","washington st.","3553","6961","0.1"
"1","eastern michigan","3802","5194","0.08333333333333333"
"4","west virginia","2795","597","0.17391304347826086"
"3","alabama","2795","4939","0.13043478260869565"
"1","duke","2768","2376","0.07142857142857142"
"1","mississippi valley state","6346","3272","0.04"
"7","mississippi valley state","6346","1673","0.28"
"3","western carolina","5280","677","0.06976744186046512"
"2","temple","5280","2373","0.046511627906976744"
"1","temple","5280","28","0.023255813953488372"
"1","ucla","5280","6327","0.023255813953488372"
"3","east carolina","3146","467","0.057692307692307696"
"1","lsu","3146","159","0.019230769230769232"
"1","boston college","3146","4720","0.019230769230769232"
"1","east carolina","3146","5304","0.019230769230769232"
"1","east carolina","3146","3796","0.019230769230769232"
"2","north carolina","6539","1376","0.2222222222222222"
"4","bucknell","5581","2194","0.5"
"2","northwestern","2276","6448","0.125"
"8","minnesota-morris","2832","1311","0.6666666666666666"
"2","michigan","6182","1876","0.02531645569620253"
"1","colgate","6182","483","0.012658227848101266"
"3","illinois st.","6182","5922","0.0379746835443038"
"1","johns hopkins md","6182","5917","0.012658227848101266"
"2","boston college","6182","1280","0.02531645569620253"
"1","colorado st.","6182","758","0.012658227848101266"
"2","western michigan","6182","2596","0.02531645569620253"
"10","florida","410","5955","0.4"
"1","florida","410","4323","0.04"
"1","illinois","6898","3789","0.027777777777777776"
"1","kansas st.","6898","5900","0.027777777777777776"
"4","south florida","6898","895","0.1111111111111111"
"7","auburn","1665","3291","0.4117647058823529"
"4","wake forest","1454","859","0.07692307692307693"
"5","wake forest","1454","1662","0.09615384615384616"
"3","wake forest","1454","2483","0.057692307692307696"
"1","oklahoma st.","1454","2251","0.019230769230769232"
"5","north carolina","1454","1593","0.09615384615384616"
"2","pitt","5277","6570","0.05263157894736842"
"4","pitt","5277","2651","0.10526315789473684"
"1","utah st.","5277","5708","0.02631578947368421"
"1","arkansas","2857","4709","0.04"
"3","arkansas","2857","1971","0.12"
"7","penn","5107","231","0.7"
"2","nc state","4387","954","0.02857142857142857"
"1","kentucky","4387","4990","0.014285714285714285"
"6","ball st.","4387","5617","0.08571428571428572"
"2","arkansas","4387","2959","0.02857142857142857"
"1","marshall","4387","5904","0.014285714285714285"
"2","notre dame","4387","6651","0.02857142857142857"
"1","stanford","2463","6827","0.05"
"1","iowa","4082","1203","0.02564102564102564"
"4","wisconsin","4082","96","0.10256410256410256"
"1","florida","4082","6100","0.02564102564102564"
"1","louisville","6110","3551","0.014705882352941176"
"1","unlv","6110","2989","0.014705882352941176"
"1","central missouri","6110","2162","0.014705882352941176"
"1","oregon st.","6110","3550","0.014705882352941176"
"1","brigham young","6110","1814","0.014705882352941176"
"2","alabama","5810","769","0.04878048780487805"
"1","fsu","5810","3271","0.024390243902439025"
"1","georgia tech","5810","2176","0.024390243902439025"
"1","lsu","4400","1617","0.07692307692307693"
"1","syracuse","6072","3896","0.02564102564102564"
"2","michigan state","6072","6620","0.05128205128205128"
"3","michigan state","6072","255","0.07692307692307693"
"1","hawaii","4430","6504","0.04"
"4","navy","4430","4668","0.16"
"5","iowa st.","5138","4082","0.10638297872340426"
"3","kansas st.","5138","5900","0.06382978723404255"
"4","kansas","5138","3937","0.0851063829787234"
"1","north texas","5138","895","0.02127659574468085"
"1","virginia","3803","2486","0.02631578947368421"
"3","virginia","3803","2373","0.07894736842105263"
"1","boston college","3803","5929","0.02631578947368421"
"1","boston college","3803","5432","0.02631578947368421"
"1","maryland","4327","1727","0.016129032258064516"
"1","pitt","4327","6135","0.016129032258064516"
"1","akron","4327","3097","0.016129032258064516"
"2","akron","4327","598","0.03225806451612903"
"1","maryland","4327","6448","0.016129032258064516"
"1","missouri st.","1879","261","0.01694915254237288"
"1","lakeland wi","1879","209","0.01694915254237288"
"2","michigan state","1879","4940","0.03389830508474576"
"1","north dakota st.","1879","564","0.01694915254237288"
"3","cincinnati","1879","6358","0.05084745762711865"
