Id,PageRank,CoachName
2960,9.65E-04,holtz skip
5407,9.62E-04,rogerson ronald ron
975,9.60E-04,casanova leonard j len
3681,9.60E-04,leavitt jim
483,9.58E-04,biddle dick
6626,9.54E-04,weatherbie charlie
2559,9.45E-04,hallman curley
3894,9.43E-04,mackovic john
1876,9.41E-04,english ron
1449,9.38E-04,dantonio mark
791,9.37E-04,bunting john
6930,9.35E-04,woods sparky
4714,9.34E-04,oboyle thomas j tommy
6380,9.33E-04,tuberville tommy
844,9.33E-04,cable tom
1861,9.32E-04,elway jack
3146,9.26E-04,jagodzinski jeff
1615,9.20E-04,dimel dana
1273,9.16E-04,cosgrove jack
2996,9.15E-04,hottle ed
5717,9.14E-04,sheppard mike
4530,9.13E-04,mudra darrell dan
6241,9.12E-04,tedford jeff
6067,9.11E-04,stoops mike
7018,9.08E-04,yukica joseph joe
3653,9.02E-04,lauterbur frank x
48,9.01E-04,akey robb
356,8.98E-04,beamer frank
3582,8.94E-04,kush frank
2708,8.94E-04,hawkins dan
1933,8.94E-04,fairchild steve
5423,8.94E-04,root jim
467,8.87E-04,berry todd
4924,8.83E-04,pell charley
5076,8.79E-04,powers warren
6059,8.79E-04,stoll cal
3665,8.79E-04,lawrence harry l
3151,8.79E-04,james george k lefty
914,8.74E-04,carey rod
5922,8.72E-04,spack brock
2769,8.71E-04,helton kim
4510,8.70E-04,morton don
3812,8.67E-04,long rocky
2829,8.67E-04,hicklin rob
1301,8.64E-04,cozza carmen
5726,8.59E-04,sherman mike
5390,8.56E-04,rodriguez rich
2176,8.54E-04,fulcher bill
6274,8.53E-04,thomas johnny
2501,8.53E-04,gundy mike
2901,8.52E-04,hodgin steve
3606,8.48E-04,lambright jim
5539,8.40E-04,sasser buddy
4973,8.38E-04,pettibone jerry
99,8.37E-04,amato chuck
6701,8.36E-04,whalen mike
3176,8.36E-04,jeffries willie e
3508,8.35E-04,knap tony
3732,8.31E-04,levy marvin marv
4158,8.31E-04,mcelwain jim
3887,8.30E-04,mackenzie jim
1362,8.29E-04,crouthamel john jake
3896,8.28E-04,macpherson dick
5992,8.26E-04,staub ralph
1626,8.25E-04,dockery rex
3428,8.25E-04,kidd roy
2404,8.22E-04,graber doug
2651,8.21E-04,harris walt
481,8.20E-04,bicknell jr jack
5471,8.20E-04,rundle craig
3199,8.17E-04,johnson bobby
3107,8.17E-04,ingram hootie
6182,8.16E-04,szabo steve
5163,8.15E-04,ragland jim
2221,8.15E-04,gardi joe
4461,8.11E-04,moore tom
1337,8.10E-04,criner jim
6779,8.10E-04,williams al
1043,8.09E-04,chismar ron
5708,8.07E-04,shelton chuck
5691,8.07E-04,shea terry
5668,8.06E-04,setencich lyle
5336,8.05E-04,roach paul
1805,8.04E-04,edsall randy
4236,8.01E-04,mcleary don
4525,7.96E-04,mouruozis nick
1752,7.96E-04,dunn joe lee
6183,7.95E-04,taaffe charlie
2493,7.92E-04,grubb wayne
2700,7.91E-04,hauck bobby
2037,7.89E-04,fitzgerald pat
127,7.87E-04,anderson jerry
5504,7.87E-04,saban louis henry lou
162,7.86E-04,arians bruce
639,7.84E-04,brandon gregg
2795,7.83E-04,henshaw george
3630,7.82E-04,lantz rick
1979,7.82E-04,ferentz kirk
6058,7.82E-04,stokley nelson
5227,7.81E-04,reedy chuck
3339,7.79E-04,keeler kurt c kc
6014,7.76E-04,stephens ken
2007,7.76E-04,fincham joe
1694,7.76E-04,dowhower rod
3279,7.76E-04,jones ronnie
432,7.76E-04,bennett phil
3797,7.76E-04,lohr jim
5215,7.76E-04,redwine mike
5231,7.76E-04,reese charles r charlie
2815,7.76E-04,hess bill
1137,7.76E-04,cocuzza charlie
1431,7.76E-04,dallas dave
1660,7.76E-04,donovan larry
3923,7.76E-04,malley terry
3491,7.76E-04,kish tim
2376,7.76E-04,goldsmith fred
2194,7.76E-04,gadd tom
1311,7.76E-04,crandall ken
5639,7.76E-04,scott kelly
4663,7.76E-04,nielson bob
3555,7.76E-04,kratzer dan
4419,7.76E-04,mollenkopf kenneth jack
2308,7.76E-04,gilburg tom
2364,7.76E-04,gobel bob
3853,7.76E-04,luke malen
1439,7.76E-04,damron dane
854,7.76E-04,cain ted
2916,7.76E-04,holgorsen dana
2914,7.76E-04,holcomb stuart k stu
293,7.76E-04,barlow reggie
2964,7.76E-04,hood dean
503,7.76E-04,bishop jr
1341,7.76E-04,cristobal mario
187,7.76E-04,asberry darrell
211,7.76E-04,aycock steven
549,7.76E-04,blount kermit
1434,7.76E-04,dalton kay
163,7.76E-04,arico larry
1719,7.76E-04,dry fa
3477,7.76E-04,kirby marion
978,7.76E-04,casem marino
5733,7.76E-04,shinnick peter pete
5178,7.76E-04,ramseyer bill
3266,7.76E-04,jones joey
6536,7.76E-04,walker matt
1416,7.76E-04,cutcliffe david
1411,7.65E-04,curtis robert bob
2949,7.62E-04,holmoe tom
5369,7.60E-04,robinson john 
1253,7.60E-04,cooper ron
2214,7.59E-04,gallup barry
6432,7.58E-04,uzelac elliot
3530,7.55E-04,koetter dirk
3550,7.53E-04,kragthorpe dave
993,7.51E-04,catchings haney
4940,7.50E-04,perles george j
6375,7.49E-04,troxel ed
6692,7.49E-04,west tommy
6967,7.49E-04,wyche sam
4193,7.47E-04,mcinerney jeff
244,7.47E-04,baker art
5277,7.46E-04,rhoads paul
6965,7.46E-04,wyatt sr alvin b
4425,7.46E-04,mondt erv
255,7.40E-04,baldwin dave
1027,7.39E-04,chaump george
5759,7.36E-04,shula mike
1070,7.36E-04,claeys tracy
1521,7.33E-04,debord mike
5224,7.32E-04,reed thomas tom
1673,7.31E-04,dorsey larry
2509,7.30E-04,gutekunst john
1352,7.30E-04,croom sylvester sly
46,7.29E-04,aillet joe
2053,7.25E-04,fletcher howard
6209,7.24E-04,tatum bart
6885,7.23E-04,withers everett
6560,7.22E-04,walsh bill
4103,7.21E-04,mccollum andy
4939,7.18E-04,perkins ray
4029,7.18E-04,matlak mark
383,7.18E-04,beckman tim
1897,7.17E-04,estes phil
2056,7.16E-04,flood kyle
